timestamp,algo,params,qubits,circuit_depth,runtime_ms,success,status,quantum_enhanced
2026-04-18T08:36:57.607253,grover,"{""qubits"": 2}",2,8,487,True,circuit_created,False
2026-04-18T08:36:58.545098,grover,"{""qubits"": 3}",2,8,470,True,circuit_created,False
2026-04-18T08:36:59.477758,grover,"{""qubits"": 4}",2,8,472,True,circuit_created,False
2026-04-18T08:37:00.412207,qaoa,"{""qubits"": 2}",3,3,458,True,circuit_created,False
2026-04-18T08:37:01.380239,qaoa,"{""qubits"": 3}",3,3,475,True,circuit_created,False
2026-04-18T08:37:02.336838,qaoa,"{""qubits"": 4}",3,3,484,True,circuit_created,False
2026-04-18T08:37:03.266918,vqe,"{""qubits"": 2}",2,2,468,True,circuit_created,False
2026-04-18T08:37:04.196445,vqe,"{""qubits"": 3}",2,2,465,True,circuit_created,False
2026-04-18T08:37:05.154848,qft,"{""qubits"": 2}",2,4,486,True,circuit_created,False
2026-04-18T08:37:06.114169,qft,"{""qubits"": 4}",4,8,477,True,circuit_created,False
2026-04-18T08:37:07.100648,qft,"{""qubits"": 6}",6,12,513,True,circuit_created,False
2026-04-18T08:37:08.042858,qft,"{""qubits"": 8}",8,16,479,True,circuit_created,False
2026-04-18T08:37:09.044820,shors,"{""qubits"": 2}",2,N/A,534,True,circuit_created,False
2026-04-18T08:37:10.005931,shors,"{""qubits"": 3}",2,N/A,484,True,circuit_created,False
2026-04-18T08:37:10.947803,bell,"{""qubits"": 2}",2,N/A,469,True,executed,False
2026-04-18T08:37:11.888709,bell,"{""qubits"": 3}",2,N/A,469,True,executed,False
2026-04-18T08:37:12.826997,bell,"{""qubits"": 4}",2,N/A,468,True,executed,False
2026-04-18T08:37:13.772097,ghz,"{""qubits"": 3}",3,N/A,471,True,executed,False
2026-04-18T08:37:14.703008,ghz,"{""qubits"": 4}",4,N/A,459,True,executed,False
2026-04-18T08:37:15.638161,ghz,"{""qubits"": 5}",5,N/A,462,True,executed,False
2026-04-18T08:37:16.559585,ghz,"{""qubits"": 6}",6,N/A,460,True,executed,False
2026-04-18T08:37:17.491313,supremacy,"{""qubits"": 2}",2,6,461,True,circuit_created,False
2026-04-18T08:37:18.411408,supremacy,"{""qubits"": 3}",3,9,463,True,circuit_created,False
2026-04-18T08:37:19.328948,supremacy,"{""qubits"": 4}",4,10,462,True,circuit_created,False
2026-04-18T08:43:56.170037,grover,"{""qubits"": 2}",2,8,474,True,circuit_created,False
2026-04-18T08:43:57.104540,grover,"{""qubits"": 3}",2,8,466,True,circuit_created,False
2026-04-18T08:43:58.046380,grover,"{""qubits"": 4}",2,8,470,True,circuit_created,False
2026-04-18T08:43:58.963817,qaoa,"{""qubits"": 2}",3,3,455,True,circuit_created,False
2026-04-18T08:43:59.871165,qaoa,"{""qubits"": 3}",3,3,457,True,circuit_created,False
2026-04-18T08:44:00.842185,qaoa,"{""qubits"": 4}",3,3,500,True,circuit_created,False
2026-04-18T08:44:01.799813,vqe,"{""qubits"": 2}",2,2,471,True,circuit_created,False
2026-04-18T08:44:02.752346,vqe,"{""qubits"": 3}",2,2,457,True,circuit_created,False
2026-04-18T08:44:03.680610,qft,"{""qubits"": 2}",2,4,473,True,circuit_created,False
2026-04-18T08:44:04.618548,qft,"{""qubits"": 4}",4,8,470,True,circuit_created,False
2026-04-18T08:44:05.595702,qft,"{""qubits"": 6}",6,12,515,True,circuit_created,False
2026-04-18T08:44:06.573103,qft,"{""qubits"": 8}",8,16,500,True,circuit_created,False
2026-04-18T08:44:07.520527,shors,"{""qubits"": 2}",2,N/A,471,True,circuit_created,False
2026-04-18T08:44:08.516441,shors,"{""qubits"": 3}",2,N/A,525,True,circuit_created,False
2026-04-18T08:44:09.456982,bell,"{""qubits"": 2}",2,N/A,476,True,executed,False
2026-04-18T08:44:10.390477,bell,"{""qubits"": 3}",2,N/A,463,True,executed,False
2026-04-18T08:44:11.332728,bell,"{""qubits"": 4}",2,N/A,471,True,executed,False
2026-04-18T08:44:12.260257,ghz,"{""qubits"": 3}",3,N/A,463,True,executed,False
2026-04-18T08:44:13.198004,ghz,"{""qubits"": 4}",4,N/A,460,True,executed,False
2026-04-18T08:44:14.122322,ghz,"{""qubits"": 5}",5,N/A,459,True,executed,False
2026-04-18T08:44:15.049110,ghz,"{""qubits"": 6}",6,N/A,458,True,executed,False
2026-04-18T08:44:16.002852,supremacy,"{""qubits"": 2}",2,6,486,True,circuit_created,False
2026-04-18T08:44:16.931776,supremacy,"{""qubits"": 3}",3,9,457,True,circuit_created,False
2026-04-18T08:44:17.856073,supremacy,"{""qubits"": 4}",4,10,467,True,circuit_created,False
2026-04-18T08:48:37.393692,grover,"{""qubits"": 2}",2,8,485,True,circuit_created,False
2026-04-18T08:48:38.342956,grover,"{""qubits"": 3}",2,8,469,True,circuit_created,False
2026-04-18T08:48:39.287814,grover,"{""qubits"": 4}",2,8,480,True,circuit_created,False
2026-04-18T08:48:40.213721,qaoa,"{""qubits"": 2}",3,3,461,True,circuit_created,False
2026-04-18T08:48:41.140453,qaoa,"{""qubits"": 3}",3,3,460,True,circuit_created,False
2026-04-18T08:48:42.057818,qaoa,"{""qubits"": 4}",3,3,461,True,circuit_created,False
2026-04-18T08:48:43.042597,vqe,"{""qubits"": 2}",2,2,490,True,circuit_created,False
2026-04-18T08:48:43.965315,vqe,"{""qubits"": 3}",2,2,468,True,circuit_created,False
2026-04-18T08:48:44.891603,qft,"{""qubits"": 2}",2,4,470,True,circuit_created,False
2026-04-18T08:48:45.828320,qft,"{""qubits"": 4}",4,8,480,True,circuit_created,False
2026-04-18T08:48:46.832513,qft,"{""qubits"": 6}",6,12,490,True,circuit_created,False
2026-04-18T08:48:47.766144,qft,"{""qubits"": 8}",8,16,471,True,circuit_created,False
2026-04-18T08:48:48.685136,shors,"{""qubits"": 2}",2,N/A,461,True,circuit_created,False
2026-04-18T08:48:49.656814,shors,"{""qubits"": 3}",2,N/A,467,True,circuit_created,False
2026-04-18T08:48:50.584626,bell,"{""qubits"": 2}",2,N/A,459,True,executed,False
2026-04-18T08:48:51.520399,bell,"{""qubits"": 3}",2,N/A,473,True,executed,False
2026-04-18T08:48:52.451328,bell,"{""qubits"": 4}",2,N/A,468,True,executed,False
2026-04-18T08:48:53.369000,ghz,"{""qubits"": 3}",3,N/A,457,True,executed,False
2026-04-18T08:48:54.289450,ghz,"{""qubits"": 4}",4,N/A,464,True,executed,False
2026-04-18T08:48:55.215407,ghz,"{""qubits"": 5}",5,N/A,468,True,executed,False
2026-04-18T08:48:56.153785,ghz,"{""qubits"": 6}",6,N/A,466,True,executed,False
2026-04-18T08:48:57.083057,supremacy,"{""qubits"": 2}",2,6,472,True,circuit_created,False
2026-04-18T08:48:58.005067,supremacy,"{""qubits"": 3}",3,9,462,True,circuit_created,False
2026-04-18T08:48:58.939130,supremacy,"{""qubits"": 4}",4,10,468,True,circuit_created,False
2026-04-18T08:49:00.381627,grover,"{""qubits"": 2}",2,8,470,True,circuit_created,False
2026-04-18T08:49:01.334073,grover,"{""qubits"": 3}",2,8,478,True,circuit_created,False
2026-04-18T08:49:02.314150,grover,"{""qubits"": 4}",2,8,493,True,circuit_created,False
2026-04-18T08:49:03.239369,qaoa,"{""qubits"": 2}",3,3,466,True,circuit_created,False
2026-04-18T08:49:04.171333,qaoa,"{""qubits"": 3}",3,3,466,True,circuit_created,False
2026-04-18T08:49:05.093722,qaoa,"{""qubits"": 4}",3,3,464,True,circuit_created,False
2026-04-18T08:49:06.022884,vqe,"{""qubits"": 2}",2,2,464,True,circuit_created,False
2026-04-18T08:49:06.932691,vqe,"{""qubits"": 3}",2,2,456,True,circuit_created,False
2026-04-18T08:49:07.857593,qft,"{""qubits"": 2}",2,4,464,True,circuit_created,False
2026-04-18T08:49:08.794409,qft,"{""qubits"": 4}",4,8,481,True,circuit_created,False
2026-04-18T08:49:09.733699,qft,"{""qubits"": 6}",6,12,475,True,circuit_created,False
2026-04-18T08:49:10.670797,qft,"{""qubits"": 8}",8,16,476,True,circuit_created,False
2026-04-18T08:49:11.589644,shors,"{""qubits"": 2}",2,N/A,463,True,circuit_created,False
2026-04-18T08:49:12.529575,shors,"{""qubits"": 3}",2,N/A,471,True,circuit_created,False
2026-04-18T08:49:13.450902,bell,"{""qubits"": 2}",2,N/A,462,True,executed,False
2026-04-18T08:49:14.370096,bell,"{""qubits"": 3}",2,N/A,460,True,executed,False
2026-04-18T08:49:15.288604,bell,"{""qubits"": 4}",2,N/A,462,True,executed,False
2026-04-18T08:49:16.255766,ghz,"{""qubits"": 3}",3,N/A,481,True,executed,False
2026-04-18T08:49:17.204810,ghz,"{""qubits"": 4}",4,N/A,466,True,executed,False
2026-04-18T08:49:18.131068,ghz,"{""qubits"": 5}",5,N/A,459,True,executed,False
2026-04-18T08:49:19.048874,ghz,"{""qubits"": 6}",6,N/A,459,True,executed,False
2026-04-18T08:49:19.967918,supremacy,"{""qubits"": 2}",2,6,461,True,circuit_created,False
2026-04-18T08:49:20.897202,supremacy,"{""qubits"": 3}",3,9,473,True,circuit_created,False
2026-04-18T08:49:21.835076,supremacy,"{""qubits"": 4}",4,10,468,True,circuit_created,False
